packet,altitude,pressure,temperature,descent_rate,battery,voltage,roll,pitch,yaw,lat,lon,sats,fix
18,0.00,1013.25,15.20,0.00,4.19,4.10,-3.50,-6.90,178.20,28.630823,77.084677,11,FIX 3D
18,0.00,1013.25,15.20,0.00,4.19,4.10,-3.50,-6.90,178.20,28.630823,77.084677,11,FIX 3D
19,620.3,940.93,10.7,-8.84,4.21,4.13,8.8,-1.1,90.0,28.635583,77.074473,10,FIX 3D
19,0.00,1013.25,14.80,0.00,4.18,4.10,2.80,-7.00,193.30,28.630742,77.084602,9,FIX 3D
19,0.00,1013.25,14.80,0.00,4.18,4.10,2.80,-7.00,193.30,28.630742,77.084602,9,FIX 3D
20,630.7,939.75,10.8,-8.39,4.21,4.13,5.8,-2.5,105.0,28.635557,77.074566,11,FIX 3D
20,0.00,1013.25,15.30,0.00,4.18,4.10,5.00,-6.50,208.50,28.630688,77.084637,9,FIX 3D
20,0.00,1013.25,15.30,0.00,4.18,4.10,5.00,-6.50,208.50,28.630688,77.084637,9,FIX 3D
21,639.9,938.72,10.8,-10.06,4.21,4.13,2.4,-5.1,120.0,28.635511,77.074598,10,FIX 3D
21,0.00,1013.25,15.10,0.00,4.17,4.09,9.80,-6.90,223.70,28.630761,77.084613,9,FIX 3D
21,0.00,1013.25,15.10,0.00,4.17,4.09,9.80,-6.90,223.70,28.630761,77.084613,9,FIX 3D
22,650.5,937.52,10.6,-9.67,4.22,4.13,-3.7,-5.7,135.1,28.635550,77.074683,10,FIX 3D
22,0.00,1013.25,14.80,0.00,4.17,4.09,8.00,-4.20,238.90,28.630809,77.084559,10,FIX 3D
22,0.00,1013.25,14.80,0.00,4.17,4.09,8.00,-4.20,238.90,28.630809,77.084559,10,FIX 3D
23,660.8,936.36,11.0,-10.66,4.22,4.13,-6.4,-7.9,150.1,28.635561,77.074713,8,FIX 3D
23,0.00,1013.25,14.80,0.00,4.16,4.08,9.80,-1.60,254.00,28.630879,77.084631,10,FIX 3D
23,0.00,1013.25,14.80,0.00,4.16,4.08,9.80,-1.60,254.00,28.630879,77.084631,10,FIX 3D
24,671.0,935.21,10.4,-10.42,4.22,4.14,-8.3,-6.2,165.0,28.635574,77.074750,10,FIX 3D
24,0.00,1013.25,15.00,0.00,4.16,4.08,7.20,0.70,269.20,28.630856,77.084659,9,FIX 3D
24,0.00,1013.25,15.00,0.00,4.16,4.08,7.20,0.70,269.20,28.630856,77.084659,9,FIX 3D
25,682.7,933.90,10.5,-9.30,4.22,4.14,-7.2,-5.2,180.0,28.635597,77.074673,9,FIX 3D
25,0.00,1013.25,15.10,0.00,4.16,4.07,7.40,3.50,284.20,28.630787,77.084662,8,FIX 3D
25,0.00,1013.25,15.10,0.00,4.16,4.07,7.40,3.50,284.20,28.630787,77.084662,8,FIX 3D
26,691.7,932.88,10.7,-8.63,4.22,4.14,-7.9,-5.3,195.0,28.635543,77.074727,10,FIX 3D
26,0.00,1013.25,15.30,0.00,4.15,4.07,0.50,4.90,299.30,28.630756,77.084762,8,FIX 3D
26,0.00,1013.25,15.30,0.00,4.15,4.07,0.50,4.90,299.30,28.630756,77.084762,8,FIX 3D
27,701.5,931.78,10.5,-8.69,4.22,4.14,-6.1,-3.7,210.0,28.635445,77.074778,8,FIX 3D
27,0.00,1013.25,14.70,0.00,4.15,4.07,-2.30,7.00,314.50,28.630692,77.084711,9,FIX 3D
27,0.00,1013.25,14.70,0.00,4.15,4.07,-2.30,7.00,314.50,28.630692,77.084711,9,FIX 3D
28,710.9,930.73,10.4,-9.92,4.22,4.14,-2.2,-1.5,225.0,28.635530,77.074727,8,FIX 3D
28,0.00,1013.25,15.30,0.00,4.15,4.06,-7.70,7.50,329.60,28.630765,77.084688,8,FIX 3D
28,0.00,1013.25,15.30,0.00,4.15,4.06,-7.70,7.50,329.60,28.630765,77.084688,8,FIX 3D
29,719.8,929.73,10.5,-10.66,4.22,4.14,3.7,1.4,240.1,28.635589,77.074803,9,FIX 3D
29,0.00,1013.25,14.90,0.00,4.14,4.06,-10.00,7.30,344.70,28.630741,77.084621,11,FIX 3D
29,0.00,1013.25,14.90,0.00,4.14,4.06,-10.00,7.30,344.70,28.630741,77.084621,11,FIX 3D
30,729.1,928.69,10.2,-8.41,4.22,4.14,6.6,4.5,255.1,28.635559,77.074749,9,FIX 3D
30,0.00,1013.25,14.80,0.00,4.14,4.06,-10.40,7.30,359.80,28.630725,77.084582,11,FIX 3D
30,0.00,1013.25,14.80,0.00,4.14,4.06,-10.40,7.30,359.80,28.630725,77.084582,11,FIX 3D
31,737.1,927.79,10.4,-9.10,4.22,4.13,10.2,6.8,270.1,28.635535,77.074682,10,FIX 3D
31,0.00,1013.25,14.80,0.00,4.14,4.05,-10.60,6.90,15.00,28.630661,77.084659,8,FIX 3D
31,0.00,1013.25,14.80,0.00,4.14,4.05,-10.60,6.90,15.00,28.630661,77.084659,8,FIX 3D
32,748.0,926.57,10.1,-8.97,4.22,4.13,11.2,7.0,285.0,28.635473,77.074745,8,FIX 3D
32,0.00,1013.25,14.90,0.00,4.14,4.05,-8.70,4.30,30.10,28.630697,77.084574,12,FIX 3D
32,0.00,1013.25,14.90,0.00,4.14,4.05,-8.70,4.30,30.10,28.630697,77.084574,12,FIX 3D
33,756.4,925.64,10.0,-10.80,4.21,4.13,10.9,7.7,300.0,28.635520,77.074645,8,FIX 3D
33,0.00,1013.25,15.10,0.00,4.13,4.05,-3.40,2.30,45.20,28.630741,77.084627,10,FIX 3D
33,0.00,1013.25,15.10,0.00,4.13,4.05,-3.40,2.30,45.20,28.630741,77.084627,10,FIX 3D
34,765.8,924.58,9.9,-9.17,4.21,4.12,8.6,9.3,315.0,28.635535,77.074704,10,FIX 3D
34,0.00,1013.25,14.80,0.00,4.13,4.05,-1.80,1.60,60.30,28.630757,77.084595,9,FIX 3D
34,0.00,1013.25,14.80,0.00,4.13,4.05,-1.80,1.60,60.30,28.630757,77.084595,9,FIX 3D
35,774.4,923.62,9.8,-10.64,4.21,4.12,8.6,8.0,330.0,28.635579,77.074794,8,FIX 3D
35,0.00,1013.25,15.10,0.00,4.13,4.05,2.60,-1.20,75.20,28.630730,77.084596,10,FIX 3D
35,0.00,1013.25,15.10,0.00,4.13,4.05,2.60,-1.20,75.20,28.630730,77.084596,10,FIX 3D
36,784.5,922.50,10.0,-9.06,4.20,4.12,2.6,7.6,345.1,28.635597,77.074717,10,FIX 3D
36,0.00,1013.25,15.10,0.00,4.13,4.05,8.30,-4.00,90.40,28.630666,77.084573,9,FIX 3D
36,0.00,1013.25,15.10,0.00,4.13,4.05,8.30,-4.00,90.40,28.630666,77.084573,9,FIX 3D
37,795.7,921.25,9.7,-10.78,4.20,4.11,-1.1,6.6,0.1,28.635571,77.074735,10,FIX 3D
37,0.00,1013.25,15.00,0.00,4.13,4.05,10.20,-5.80,105.60,28.630675,77.084524,11,FIX 3D
37,0.00,1013.25,15.00,0.00,4.13,4.05,10.20,-5.80,105.60,28.630675,77.084524,11,FIX 3D
38,806.4,920.07,9.6,-8.63,4.19,4.11,-4.1,2.9,15.1,28.635481,77.074758,10,FIX 3D
38,0.00,1013.25,15.00,0.00,4.13,4.05,11.90,-7.00,120.60,28.630699,77.084572,10,FIX 3D
38,0.00,1013.25,15.00,0.00,4.13,4.05,11.90,-7.00,120.60,28.630699,77.084572,10,FIX 3D
39,814.5,919.16,9.7,-8.99,4.19,4.10,-5.9,1.4,30.0,28.635410,77.074723,11,FIX 3D
39,0.00,1013.25,14.80,0.00,4.13,4.05,11.10,-7.60,135.70,28.630747,77.084476,10,FIX 3D
39,0.00,1013.25,14.80,0.00,4.13,4.05,11.10,-7.60,135.70,28.630747,77.084476,10,FIX 3D
40,825.9,917.90,9.5,-10.42,4.18,4.10,-7.1,-1.4,45.0,28.635367,77.074781,11,FIX 3D
40,0.00,1013.25,15.20,0.00,4.13,4.05,7.10,-8.80,150.90,28.630743,77.084415,10,FIX 3D
40,0.00,1013.25,15.20,0.00,4.13,4.05,7.10,-8.80,150.90,28.630743,77.084415,10,FIX 3D
41,834.5,916.95,9.7,-8.15,4.18,4.09,-7.3,-3.7,60.0,28.635279,77.074741,8,FIX 3D
41,0.00,1013.25,15.00,0.00,4.14,4.05,4.60,-8.00,166.20,28.630834,77.084474,11,FIX 3D
41,0.00,1013.25,15.00,0.00,4.14,4.05,4.60,-8.00,166.20,28.630834,77.084474,11,FIX 3D
42,846.4,915.63,9.4,-8.01,4.17,4.09,-7.4,-5.2,75.0,28.635263,77.074657,10,FIX 3D
42,0.00,1013.25,14.90,0.00,4.14,4.06,-1.30,-6.30,181.30,28.630884,77.084383,12,FIX 3D
42,0.00,1013.25,14.90,0.00,4.14,4.06,-1.30,-6.30,181.30,28.630884,77.084383,12,FIX 3D
43,857.5,914.41,9.6,-8.69,4.16,4.08,-4.5,-6.6,90.1,28.635217,77.074628,9,FIX 3D
43,0.00,1013.25,14.80,0.00,4.14,4.06,-3.30,-4.20,196.40,28.630851,77.084300,10,FIX 3D
43,0.00,1013.25,14.80,0.00,4.14,4.06,-3.30,-4.20,196.40,28.630851,77.084300,10,FIX 3D
44,866.7,913.38,9.6,-10.84,4.16,4.07,1.1,-6.0,105.1,28.635130,77.074667,10,FIX 3D
44,0.00,1013.25,15.20,0.00,4.14,4.06,-7.20,-1.90,211.50,28.630799,77.084261,8,FIX 3D
44,0.00,1013.25,15.20,0.00,4.14,4.06,-7.20,-1.90,211.50,28.630799,77.084261,8,FIX 3D
45,876.8,912.28,9.1,-10.24,4.15,4.07,2.5,-7.4,120.1,28.635030,77.074637,11,FIX 3D
45,0.00,1013.25,15.20,0.00,4.15,4.06,-10.00,0.20,226.60,28.630774,77.084236,11,FIX 3D
45,0.00,1013.25,15.20,0.00,4.15,4.06,-10.00,0.20,226.60,28.630774,77.084236,11,FIX 3D
46,885.2,911.34,9.5,-10.45,4.15,4.06,6.3,-6.3,135.0,28.635032,77.074711,11,FIX 3D
46,0.00,1013.25,14.90,0.00,4.15,4.07,-10.30,2.70,241.80,28.630873,77.084170,10,FIX 3D
46,0.00,1013.25,14.90,0.00,4.15,4.07,-10.30,2.70,241.80,28.630873,77.084170,10,FIX 3D
47,895.1,910.25,9.4,-10.21,4.14,4.06,9.8,-5.1,150.0,28.635063,77.074676,9,FIX 3D
47,0.00,1013.25,15.10,0.00,4.15,4.07,-9.60,5.50,257.00,28.630955,77.084126,12,FIX 3D
47,0.00,1013.25,15.10,0.00,4.15,4.07,-9.60,5.50,257.00,28.630955,77.084126,12,FIX 3D
48,904.5,909.22,8.9,-8.38,4.13,4.05,12.4,-3.5,165.0,28.635008,77.074622,11,FIX 3D
48,0.00,1013.25,14.90,0.00,4.15,4.07,-7.90,6.80,272.10,28.630953,77.084089,12,FIX 3D
48,0.00,1013.25,14.90,0.00,4.15,4.07,-7.90,6.80,272.10,28.630953,77.084089,12,FIX 3D
49,914.9,908.08,8.9,-8.62,4.13,4.05,10.8,0.2,180.1,28.635012,77.074671,10,FIX 3D
49,0.00,1013.25,14.90,0.00,4.16,4.07,-3.80,8.70,287.20,28.630937,77.084126,8,FIX 3D
49,0.00,1013.25,14.90,0.00,4.16,4.07,-3.80,8.70,287.20,28.630937,77.084126,8,FIX 3D
50,926.3,906.82,8.9,-8.87,4.12,4.04,9.8,2.7,195.1,28.635078,77.074684,11,FIX 3D
50,0.00,1013.25,14.70,0.00,4.16,4.08,2.20,8.20,302.30,28.630904,77.084032,10,FIX 3D
50,0.00,1013.25,14.70,0.00,4.16,4.08,2.20,8.20,302.30,28.630904,77.084032,10,FIX 3D
51,937.6,905.59,9.0,-8.68,4.12,4.04,5.9,3.4,210.1,28.635089,77.074701,9,FIX 3D
51,0.00,1013.25,14.80,0.00,4.16,4.08,5.20,6.60,317.30,28.630833,77.084110,10,FIX 3D
51,0.00,1013.25,14.80,0.00,4.16,4.08,5.20,6.60,317.30,28.630833,77.084110,10,FIX 3D
52,949.5,904.28,8.9,-8.74,4.11,4.03,2.1,6.4,225.0,28.635048,77.074789,11,FIX 3D
52,0.00,1013.25,15.20,0.00,4.17,4.08,6.90,6.50,332.40,28.630892,77.084098,8,FIX 3D
52,0.00,1013.25,15.20,0.00,4.17,4.08,6.90,6.50,332.40,28.630892,77.084098,8,FIX 3D
53,939.1,905.42,9.0,10.23,4.11,4.03,-2.1,7.0,240.0,28.635002,77.074779,11,FIX 3D
53,0.00,1013.25,14.70,0.00,4.17,4.09,8.10,4.40,347.30,28.630849,77.084123,8,FIX 3D
53,0.00,1013.25,14.70,0.00,4.17,4.09,8.10,4.40,347.30,28.630849,77.084123,8,FIX 3D
54,930.5,906.36,8.8,9.27,4.11,4.02,-5.7,7.9,255.0,28.635073,77.074760,10,FIX 3D
54,0.00,1013.25,15.20,0.00,4.17,4.09,8.50,2.00,2.50,28.630897,77.084099,9,FIX 3D
54,0.00,1013.25,15.20,0.00,4.17,4.09,8.50,2.00,2.50,28.630897,77.084099,9,FIX 3D
55,921.0,907.40,9.2,10.04,4.10,4.02,-8.5,8.6,270.0,28.635138,77.074784,10,FIX 3D
55,0.00,1013.25,15.30,0.00,4.18,4.09,9.20,0.10,17.60,28.630811,77.084131,12,FIX 3D
55,0.00,1013.25,15.30,0.00,4.18,4.09,9.20,0.10,17.60,28.630811,77.084131,12,FIX 3D
56,910.6,908.55,9.0,8.96,4.10,4.02,-8.2,7.6,285.1,28.635112,77.074713,9,FIX 3D
56,0.00,1013.25,14.90,0.00,4.18,4.09,5.10,-3.10,32.70,28.630807,77.084068,9,FIX 3D
56,0.00,1013.25,14.90,0.00,4.18,4.09,5.10,-3.10,32.70,28.630807,77.084068,9,FIX 3D
57,0.00,1013.25,15.10,0.00,4.18,4.10,1.30,-4.20,47.80,28.630889,77.084158,11,FIX 3D
57,0.00,1013.25,15.10,0.00,4.18,4.10,1.30,-4.20,47.80,28.630889,77.084158,11,FIX 3D
58,0.00,1013.25,15.20,0.00,4.18,4.10,-0.40,-5.80,62.90,28.630834,77.084058,10,FIX 3D
58,0.00,1013.25,15.20,0.00,4.18,4.10,-0.40,-5.80,62.90,28.630834,77.084058,10,FIX 3D
59,0.00,1013.25,15.20,0.00,4.18,4.10,-6.30,-6.50,77.90,28.630848,77.084016,8,FIX 3D
59,0.00,1013.25,15.20,0.00,4.18,4.10,-6.30,-6.50,77.90,28.630848,77.084016,8,FIX 3D
60,0.00,1013.25,15.00,0.00,4.19,4.10,-6.80,-7.40,93.10,28.630896,77.083949,10,FIX 3D
60,0.00,1013.25,15.00,0.00,4.19,4.10,-6.80,-7.40,93.10,28.630896,77.083949,10,FIX 3D
61,0.00,1013.25,15.10,0.00,4.19,4.10,-8.70,-8.60,108.20,28.630913,77.083908,10,FIX 3D
61,0.00,1013.25,15.10,0.00,4.19,4.10,-8.70,-8.60,108.20,28.630913,77.083908,10,FIX 3D
62,0.00,1013.25,14.70,0.00,4.19,4.10,-8.70,-6.10,123.30,28.630963,77.083816,8,FIX 3D
62,0.00,1013.25,14.70,0.00,4.19,4.10,-8.70,-6.10,123.30,28.630963,77.083816,8,FIX 3D
